epoch,gen_loss,disc_loss,time_sec
5,0.68556255,1.4280059,23.82706880569458
10,0.6742663,1.4522148,23.688351154327393
15,0.68547493,1.4544967,23.698126554489136
20,0.699996,1.4489228,23.681477308273315
25,0.65874904,1.4595671,23.68209481239319
30,0.67248535,1.4580505,23.663713455200195
35,0.6706927,1.4338256,23.668689250946045
40,0.68363136,1.4144511,23.704018354415894
45,0.69424087,1.4320618,23.67204737663269
50,0.68600345,1.4047773,23.667352199554443
55,0.6672892,1.4724826,23.66252827644348
60,0.6821568,1.4607872,23.682772397994995
65,0.6878598,1.4063357,23.709319353103638
70,0.71812713,1.5172435,23.675832271575928
75,0.68606514,1.4025304,23.66334629058838
80,0.68929,1.4206729,23.66818904876709
85,0.6722107,1.4303099,23.6806640625
90,0.689347,1.3975189,23.699610233306885
95,0.66983443,1.4818127,23.671515464782715
100,0.68805254,1.4014634,23.653809309005737
